PMID,Title,Consumer Wearable Brand(s),Reviewer 1 Initial Decision,Reviewer 2 Initial Decision,Final Consensus Decision
32168728,Withings Body Cardio Versus Gold Standards of Pulse-Wave Velocity and Body Composition,Withings Body Cardio scale,Exclude,Exclude,Exclude
32215550,"Detecting sleep using heart rate and motion data from multisensor consumer-grade wearables, relative to wrist actigraphy and polysomnography",Apple Watch (Series 2) | Oura Ring (Version 1),Include,Include,Include
32298322,Validation of the Polar OH1 and M600 optical heart rate sensors during front crawl swim training,Polar OH1 optical heart rate sensor | Polar M600 smart watch,Include,Include,Include
32343255,Accuracy of Optical Heart Rate Sensing Technology in Wearable Fitness Trackers for Young and Older Adults: Validation and Comparison Study,Xiaomi Mi Band 2 | Garmin Vivosmart HR+,Include,Include,Include
32354449,A new smart wristband equipped with an artificial intelligence algorithm to detect atrial fibrillation,Amazfit Health Band 1S,Exclude,Exclude,Exclude
32374274,Wrist-Worn Wearables for Monitoring Heart Rate and Energy Expenditure While Sitting or Performing Light-to-Vigorous Physical Activity: Validation Study,Apple Watch Series 4 | Polar Vantage V | Garmin Fenix 5 | Fitbit Versa,Include,Include,Include
32478565,Validating QT-Interval Measurement Using the Apple Watch ECG to Enable Remote Monitoring During the COVID-19 Pandemic,Apple Watch Series 4,Include,Include,Include
32489016,Consumer-grade biosensor validation for examining stress in healthcare professionals,"Vital Scout (VivaLNK, Inc.)",Exclude,Exclude,Exclude
32509127,The Validity and Reliability of the Mi Band Wearable Device for Measuring Steps and Heart Rate,"Mi Band 2 (Xiaomi, Inc)",Include,Include,Include
32742766,"The validity of activity trackers is affected by walking speed: the criterion validity of Garmin Vivosmart! HR and StepWatch"" 3 for measuring steps at various walking speeds under controlled conditions",Garmin Vivosmart! HR,Include,Include,Include
32866216,Concurrent heart rate validity of wearable technology devices during trail running,Garmin Fenix 5 wristwatch | Jabra Elite Sport earbuds | Motiv ring | Scosche Rhythm+ forearm band | Suunto Spartan Sport watch with accompanying chest strap,Exclude,Exclude,Exclude
32886714,Performance of a commercial multi-sensor wearable (Fitbit Charge HR) in measuring physical activity and sleep in healthy children,Fitbit,Include,Include,Include
32965570,Validity of the Empatica E4 Wristband to Measure Heart Rate Variability (HRV) Parameters: a Comparison to Electrocardiography (ECG),Empatica E4 wristband,Include,Include,Include
33166293,Quantitative detection of sleep apnea with wearable watch device,"E4 wristband (Empatica, Milano, Italy)",Include,Include,Include
33306678,Assessing the performance of a commercial multisensory sleep tracker,Garmin Vivosmart 4,Include,Include,Include
33322833,Validity of Consumer Activity Monitors and an Algorithm Using Smartphone Data for Measuring Steps during Different Activity Types,Fitbit Inspire | Fitbit Ionic | Garmin vivofit 4 | Garmin vivomove HR | Withings Pulse HR | Withings Steel HR | Xiaomi Mi Band 3 | Samsung Galaxy Watch Active,Include,Include,Include
33375557,Validation of Zulu Watch against Polysomnography and Actigraphy for On-Wrist Sleep-Wake Determination and Sleep-Depth Estimation,Zulu watch,Exclude,Exclude,Exclude
33410757,Validity of Wrist-Wearable Activity Devices for Estimating Physical Activity in Adolescents: Comparative Study,Mi Band 2 (XiaoMi) | B2 (Huawei) | Bong 2s (Meizu) | Amazfit (Huami) | Flex (Fitbit) | UP3 (Jawbone) | Shine 2 (Misfit) | GOLiFE Care-X (GoYourLife) | Pulse O2 (Withings) | Vivofit (Garmin) | Loop (Polar Electro),Exclude,Exclude,Exclude
33433391,Wrist-Worn Activity Trackers in Laboratory and Free-Living Settings for Patients With Chronic Pain: Criterion Validity Study,Fitbit,Include,Include,Include
33438575,The accuracy of the THIM wearable device for estimating sleep onset latency,THIM wearable device,Exclude,Exclude,Exclude
